                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.26256,                 1.5351,                 1.0105,                0.89418,                 0.8444,                0.91485,                0.86958,                0.37559,                 1.5437,                0.76625,             0.00054854,             0.00054854,             0.00054854
                      2,                0.19765,                0.90995,                  0.942,                 0.7793,                 0.7699,                0.85715,                0.68512,                0.59877,                 1.5769,                 1.0945,              0.0010823,              0.0010823,              0.0010823
                      3,                0.19022,                0.79058,                0.93023,                0.85139,                0.84706,                 0.9187,                 0.8774,                0.35338,                 1.0942,                0.72883,              0.0015941,              0.0015941,              0.0015941
                      4,                 0.1845,                0.72989,                0.93055,                0.75881,                 0.8483,                0.88294,                0.85916,                0.31625,                 1.0095,                0.68491,               0.001568,               0.001568,               0.001568
                      5,                0.17581,                0.65723,                0.92577,                0.89221,                0.88522,                0.93974,                0.92856,                0.22462,                0.76446,                0.54805,               0.001535,               0.001535,               0.001535
                      6,                0.15287,                0.61949,                0.91314,                0.89594,                 0.9117,                0.92618,                0.91956,                0.21847,                0.67455,                0.55901,               0.001502,               0.001502,               0.001502
                      7,                0.14252,                0.61003,                0.90268,                0.81926,                0.83385,                0.95486,                0.91064,                0.32847,                 0.8791,                0.66884,               0.001469,               0.001469,               0.001469
                      8,                 0.1448,                0.54692,                0.91246,                0.93417,                0.92401,                0.97358,                0.96168,                0.22266,                0.56058,                0.56601,               0.001436,               0.001436,               0.001436
                      9,                0.12658,                 0.5369,                0.90056,                0.88035,                0.88485,                0.97163,                0.96575,                0.16556,                 0.5573,                0.48407,              0.0014029,              0.0014029,              0.0014029
                     10,                0.12636,                0.50429,                0.90633,                0.92773,                0.92886,                0.98356,                0.97822,                0.20055,                0.45492,                0.52583,              0.0013699,              0.0013699,              0.0013699
                     11,                0.12713,                0.47414,                 0.9002,                0.94317,                0.91328,                0.97787,                0.97184,                 0.1725,                 0.4318,                0.48548,              0.0013369,              0.0013369,              0.0013369
                     12,                0.12301,                0.46965,                0.90042,                0.84939,                0.91999,                0.97331,                0.96087,                0.17034,                0.57721,                0.49125,              0.0013039,              0.0013039,              0.0013039
                     13,                0.11499,                0.46827,                0.89872,                0.89727,                0.89706,                0.98783,                 0.9773,                0.15977,                 0.4932,                0.47319,              0.0012709,              0.0012709,              0.0012709
                     14,                0.10999,                0.42588,                0.89412,                0.95724,                0.94455,                0.98471,                0.97861,                0.25996,                0.52094,                0.60917,              0.0012379,              0.0012379,              0.0012379
                     15,                0.11084,                0.43471,                0.89905,                0.93898,                0.94572,                0.97866,                0.97115,                0.16624,                0.45159,                0.48307,              0.0012049,              0.0012049,              0.0012049
                     16,                0.10417,                0.42787,                0.89343,                0.82561,                0.91926,                0.98406,                0.97928,                0.16544,                0.57272,                  0.495,              0.0011719,              0.0011719,              0.0011719
                     17,                 0.1052,                 0.4154,                0.88888,                0.96655,                0.97408,                0.99125,                  0.988,                 0.1707,                0.34461,                0.47741,              0.0011389,              0.0011389,              0.0011389
                     18,                0.09842,                0.39074,                0.89174,                0.93452,                0.95074,                0.99273,                0.98559,                0.17782,                0.38024,                0.49811,              0.0011059,              0.0011059,              0.0011059
                     19,                0.09391,                0.36684,                0.88405,                 0.9526,                0.91976,                0.98959,                0.98648,                0.13999,                0.39823,                0.44938,              0.0010729,              0.0010729,              0.0010729
                     20,                0.09146,                0.38124,                0.89389,                0.94926,                 0.9724,                0.99182,                0.99117,                0.19621,                 0.3946,                 0.5144,              0.0010399,              0.0010399,              0.0010399
                     21,                0.09192,                0.38852,                0.88706,                0.95906,                0.95075,                0.99238,                0.99088,                0.18949,                0.40235,                0.49992,              0.0010069,              0.0010069,              0.0010069
                     22,                0.08921,                0.34903,                 0.8879,                0.97533,                0.98065,                0.99333,                0.99192,                0.18014,                 0.3535,                0.50051,             0.00097386,             0.00097386,             0.00097386
                     23,                0.08616,                0.37312,                0.88833,                0.98778,                0.98283,                0.99392,                0.99055,                0.19216,                0.27121,                0.51471,             0.00094085,             0.00094085,             0.00094085
                     24,                0.08136,                 0.3444,                 0.8793,                0.98441,                0.98283,                0.99415,                0.99359,                0.14789,                0.25872,                0.46862,             0.00090785,             0.00090785,             0.00090785
                     25,                0.07731,                0.35954,                0.88617,                0.97519,                0.99341,                0.99308,                0.98903,                0.15592,                0.31706,                 0.4778,             0.00087484,             0.00087484,             0.00087484
                     26,                0.07913,                0.33791,                0.88006,                0.97341,                 0.9776,                 0.9936,                0.98636,                0.17359,                0.34252,                0.47939,             0.00084184,             0.00084184,             0.00084184
                     27,                0.07602,                0.32868,                0.88436,                0.96947,                0.96465,                0.99458,                0.99411,                0.15204,                0.32046,                0.48111,             0.00080883,             0.00080883,             0.00080883
                     28,                0.07369,                0.32727,                0.88597,                 0.9914,                0.99152,                0.99483,                0.99288,                0.17617,                0.31949,                0.49818,             0.00077582,             0.00077582,             0.00077582
                     29,                0.06933,                0.32234,                0.88376,                0.98439,                0.99341,                0.99445,                0.99352,                0.15222,                0.29254,                0.46401,             0.00074282,             0.00074282,             0.00074282
                     30,                0.07139,                0.30036,                 0.8791,                0.98643,                 0.9937,                0.99474,                0.99354,                0.15098,                0.27376,                0.45298,             0.00070981,             0.00070981,             0.00070981
                     31,                 0.0698,                0.29531,                0.88124,                 0.9619,                0.96416,                0.99468,                 0.9936,                0.14181,                0.32656,                0.45815,              0.0006768,              0.0006768,              0.0006768
                     32,                0.06706,                0.30367,                0.88042,                0.99045,                0.99042,                0.99448,                 0.9928,                0.15289,                0.29888,                0.46267,              0.0006438,              0.0006438,              0.0006438
                     33,                0.06616,                0.27619,                 0.8879,                0.91874,                0.95994,                0.99392,                0.99309,                0.12668,                0.34965,                0.43661,             0.00061079,             0.00061079,             0.00061079
                     34,                 0.0622,                0.26498,                0.88374,                0.99476,                0.99295,                0.99498,                0.99412,                0.11149,                0.22908,                0.43278,             0.00057778,             0.00057778,             0.00057778
                     35,                0.06062,                0.26501,                 0.8744,                0.98993,                0.99742,                 0.9948,                0.99384,                0.13125,                 0.2045,                0.44648,             0.00054478,             0.00054478,             0.00054478
                     36,                0.05789,                0.25474,                0.87877,                0.98958,                0.99172,                0.99491,                  0.994,                0.13447,                0.25069,                0.45476,             0.00051177,             0.00051177,             0.00051177
                     37,                0.05829,                0.26387,                0.88642,                0.99674,                0.99965,                  0.995,                0.99456,                 0.1406,                 0.2054,                0.45185,             0.00047876,             0.00047876,             0.00047876
                     38,                0.05656,                0.24859,                0.88297,                0.98784,                0.99401,                0.99498,                0.99455,                0.10518,                0.23101,                0.42226,             0.00044576,             0.00044576,             0.00044576
                     39,                0.05614,                0.24791,                0.87987,                0.98561,                0.98383,                0.99496,                0.99375,                0.12649,                0.25383,                0.43982,             0.00041275,             0.00041275,             0.00041275
                     40,                0.05133,                0.25134,                0.87699,                0.99577,                 0.9979,                  0.995,                0.99381,                0.11638,                0.22098,                0.43448,             0.00037974,             0.00037974,             0.00037974
                     41,                0.05594,                0.19793,                0.87977,                0.99677,                0.98685,                0.99485,                 0.9939,                0.13667,                0.24953,                0.45501,             0.00034674,             0.00034674,             0.00034674
                     42,                0.05047,                0.11969,                0.87605,                0.98527,                0.99591,                  0.995,                0.99399,                0.12875,                0.25177,                0.44847,             0.00031373,             0.00031373,             0.00031373
                     43,                0.04752,                0.12917,                0.87137,                0.99974,                0.99727,                  0.995,                0.99411,                0.14398,                0.23864,                0.47013,             0.00028072,             0.00028072,             0.00028072
                     44,                0.04349,                0.12081,                0.87323,                0.98039,                0.98323,                  0.995,                0.99346,                 0.1481,                0.31237,                0.47541,             0.00024772,             0.00024772,             0.00024772
                     45,                0.04065,                0.09857,                0.86676,                0.98745,                0.98992,                  0.995,                0.99375,                0.14243,                0.28569,                0.47269,             0.00021471,             0.00021471,             0.00021471
                     46,                0.03784,                0.08434,                0.87287,                0.99953,                0.99719,                  0.995,                0.99453,                0.12941,                0.27474,                0.45202,              0.0001817,              0.0001817,              0.0001817
                     47,                 0.0357,                0.08336,                0.86802,                0.99645,                 0.9979,                  0.995,                0.99412,                0.13559,                0.28975,                0.46276,              0.0001487,              0.0001487,              0.0001487
                     48,                0.03194,                0.08707,                0.87237,                0.99972,                0.99874,                  0.995,                0.99476,                0.12413,                0.24695,                0.44586,             0.00011569,             0.00011569,             0.00011569
                     49,                0.03088,                0.07417,                0.86912,                0.99848,                0.99808,                  0.995,                0.99454,                0.11642,                0.23126,                0.43643,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.02892,                0.06503,                0.86899,                0.99925,                0.99814,                  0.995,                 0.9947,                0.10999,                0.24571,                0.43309,             4.9677e-05,             4.9677e-05,             4.9677e-05
